name,city,postal_code,street,building_number,managed_by
Gabinety Drej,Tarnów,41-473,Górna,76,54
Pleban-Gasz Sp.j.,Giżycko,17-504,Staffa,86,109
PPUH Wajdzik,Jastrzębie-Zdrój,95-960,Stycznia,538,70
FPUH Leks-Biegała i syn s.c.,Wągrowiec,28-354,Urocza,37,8
PPUH Rudyk,Bochnia,07-518,Królewska,413,29
Stowarzyszenie Baumgart s.c.,Nowy Dwór Mazowiecki,16-017,Szewska,874,27
Gabinety Pytlarz,Sandomierz,64-904,Rolna,755,86
Stowarzyszenie Dworczak-Hudzik Sp. z o.o.,Pabianice,14-450,Wolności,734,94
Stowarzyszenie Jachna,Bochnia,16-933,Wysoka,20,75
Dylong Sp. z o.o. Sp.k.,Mińsk Mazowiecki,07-325,Porzeczkowa,345,92
FPUH Koleśnik Sp. z o.o. Sp.k.,Łomża,55-396,Wyspiańskiego,965,96
Stowarzyszenie Maślach-Lesiewicz i syn s.c.,Koszalin,96-458,Ciasna,60,71
Tomzik-Nurek Sp.k.,Sochaczew,80-858,Letniskowa,78/19,79
Grupa Sych,Głogów,83-095,Dobra,93/82,82
Fundacja Cogiel-Sołoducha Sp. z o.o. Sp.k.,Chojnice,31-159,Widokowa,995,112
FPUH Zygmuntowicz,Środa Wielkopolska,90-799,Batalionów Chłopskich,95,110
Dziadura-Wykręt i syn s.c.,Zielona Góra,63-012,Zamkowa,54,6
Piekarek-Wiesiołek i syn s.c.,Tarnowskie Góry,72-415,Górska,396,24
FPUH Ksel i syn s.c.,Pszczyna,62-210,Morelowa,597,2
Nazar-Taczała Sp. z o.o. Sp.k.,Chorzów,60-092,Turkusowa,43,19
Grupa Matyka-Chyb s.c.,Gdańsk,33-911,Asnyka,140,101
Fundacja Handzel S.A.,Inowrocław,02-382,Szkolna,09,105
Owsiak-Preuss i syn s.c.,Gdynia,27-850,Armii Krajowej,08,38
Rosołek Sp.j.,Zabrze,93-380,Żabia,101,90
Stowarzyszenie Wojaczek,Chojnice,99-350,Mostowa,72/50,84
Spółdzielnia Tylek i syn s.c.,Starogard Gdański,71-945,Sportowa,53,36
FPUH Pich Sp. z o.o.,Olkusz,56-375,Kazimierza Wielkiego,16,89
Grupa Kłoczko Sp.k.,Piastów,55-423,Kasztanowa,23,73
Salwin-Wołkowicz Sp. z o.o. Sp.k.,Wieluń,05-563,Kazimierza Wielkiego,54,81
Stowarzyszenie Fijałek S.A.,Krotoszyn,67-944,Wysoka,48,57
Fundacja Świech,Będzin,73-167,Jeżynowa,403,95
Fundacja Engler,Zielona Góra,40-113,Niecała,24,13
Gabinety Czupryna-Kreczmer Sp. z o.o.,Czechowice-Dziedzice,96-142,Sybiraków,239,88
Fundacja Ruchała-Kuropatwa i syn s.c.,Kluczbork,41-185,Sienkiewicza,22,45
Smutek Sp.k.,Kutno,37-979,Kwiatowa,317,68
Grupa Misiurek i syn s.c.,Olsztyn,19-697,Szeroka,69/70,120
FPUH Skrzecz-Stasica S.A.,Szczytno,28-984,Tuwima,14,51
PPUH Jereczek,Bielsk Podlaski,08-869,Lipca,14/78,15
Fundacja Juśkiewicz,Częstochowa,23-660,Orzeszkowej,92,64
Fundacja Garncarek Sp.k.,Ostróda,78-877,Mickiewicza,372,59
Stowarzyszenie Włodarz,Police,53-937,Bolesława Chrobrego,22,10
Grupa Kuza S.A.,Bielawa,90-247,Broniewskiego,52,46
Spółdzielnia Domoń,Tychy,07-501,Spacerowa,64,103
Stowarzyszenie Wyrwich,Zgorzelec,71-279,Środkowa,249,60
Gabinety Leoniak-Sobisz Sp. z o.o. Sp.k.,Jawor,73-729,Szymanowskiego,985,83
Spółdzielnia Gogacz,Krosno,45-375,Orla,89/53,117
FPUH Nazar-Dobosiewicz S.A.,Ruda Śląska,61-173,Wschodnia,925,58
Grupa Żelazo-Koźlak Sp. z o.o. Sp.k.,Wejherowo,10-892,Warszawska,78,56
Spółdzielnia Kuba-Duniec Sp. z o.o.,Inowrocław,58-817,Żeglarska,062,44
Walus-Barej Sp. z o.o.,Skarżysko-Kamienna,73-061,Kielecka,27,25
Szczap-Grotek s.c.,Siemianowice Śląskie,21-844,Ptasia,28/30,34
Gabinety Domżał-Gęca Sp. z o.o. Sp.k.,Sosnowiec,86-556,Piękna,923,50
Gabinety Wołos,Wągrowiec,42-725,Skrajna,80/98,102
Stowarzyszenie Ragus s.c.,Wałbrzych,76-446,Młyńska,91,12
Kierepka-Kuśnierek Sp.j.,Dąbrowa Górnicza,61-521,Bolesława Krzywoustego,23,69
Rzucidło s.c.,Sanok,86-194,Krasińskiego,98,116
Wawszczyk Sp.k.,Gniezno,88-966,Cegielniana,011,23
Stowarzyszenie Wiciak Sp. z o.o. Sp.k.,Skarżysko-Kamienna,76-985,Lotnicza,02/91,11
Spółdzielnia Bryzek,Mielec,97-760,Fabryczna,15,26
Spółdzielnia Dylak,Krotoszyn,79-211,Jagiellońska,661,40
Kurzaj-Wygoda Sp. z o.o. Sp.k.,Żywiec,41-950,Batalionów Chłopskich,514,63
Rozumek i syn s.c.,Pruszcz Gdański,88-129,Azaliowa,99,48
Grupa Rusiniak-Gęca Sp.k.,Piaseczno,88-434,Szafirowa,41,91
FPUH Wawrzynek,Brodnica,02-995,Tulipanowa,760,9
Żółkiewicz-Dziewior Sp.j.,Zakopane,38-846,Kolonia,31,62
Giec-Tomaszczyk Sp. z o.o. Sp.k.,Jarocin,44-635,Lelewela,94/84,74
FPUH Jędrusiak,Mińsk Mazowiecki,10-689,Korczaka,748,80
Spółdzielnia Maligłówka,Gorlice,52-880,Cmentarna,66/01,55
Poniedziałek-Pospiech Sp.j.,Rzeszów,44-840,Cisowa,83,4
PPUH Kapustka Sp. z o.o. Sp.k.,Szczecin,92-475,Cicha,66,43
Młotek Sp. z o.o.,Chojnice,14-620,Opolska,33/48,113
Spółdzielnia Jędrys S.A.,Oleśnica,64-735,Kazimierza Wielkiego,84/50,18
Lemiesz-Filiks Sp.k.,Toruń,54-873,Gołębia,22,114
Domek-Neska i syn s.c.,Świętochłowice,36-780,Kołłątaja,364,1
Stowarzyszenie Jaźwiec,Sandomierz,19-906,Poziomkowa,375,21
PPUH Korpal,Wrocław,88-813,Malinowa,83/45,61
Krzyśko-Wiciak Sp. z o.o. Sp.k.,Czerwionka-Leszczyny,49-026,Strzelecka,12/51,65
Szeszko-Babij Sp.k.,Nowa Ruda,95-029,Narcyzowa,87,49
Pastuszek s.c.,Wągrowiec,17-673,Reymonta,45/33,30
Stroka S.A.,Siemianowice Śląskie,57-652,Srebrna,456,78
Stowarzyszenie Mysior S.A.,Kętrzyn,21-701,Słowicza,748,33
Danieluk s.c.,Częstochowa,58-215,Czarnieckiego,38,85
Stowarzyszenie Zachwieja-Zander Sp. z o.o.,Zawiercie,98-267,Parkowa,309,72
Spółdzielnia Bittner,Jelenia Góra,13-072,Kasztanowa,08,32
Betlej-Dering s.c.,Łódź,86-651,Poprzeczna,06,115
Toś Sp. z o.o. Sp.k.,Wrocław,18-296,Przechodnia,340,20
Grupa Fojt,Konin,33-180,Nowowiejska,84/04,76
Spółdzielnia Sadura Sp. z o.o.,Świecie,30-136,Powstańców Śląskich,71,67
Gabinety Gamrat Sp.k.,Gdańsk,27-164,Starowiejska,561,97
Dubel Sp. z o.o.,Suwałki,78-555,Średnia,97,41
Grupa Listwan,Ostrowiec Świętokrzyski,73-796,Składowa,930,35
Fundacja Dargacz S.A.,Piotrków Trybunalski,11-683,Wojska Polskiego,10,17
Woroch-Ćmiel Sp. z o.o.,Sieradz,77-044,Zapolskiej,09/70,93
Berendt-Starościak Sp. z o.o. Sp.k.,Nowa Sól,56-757,Kasztanowa,07,14
Spółdzielnia Jędrasiak-Gołoś Sp.k.,Mława,44-486,Mickiewicza,18/85,87
Spółdzielnia Malcherek-Dębniak Sp. z o.o. Sp.k.,Żagań,21-734,Ptasia,14,111
Spółdzielnia Kosałka,Bełchatów,81-322,Orla,967,5
Giża-Andrys s.c.,Bochnia,13-791,Chabrowa,11/16,7
FPUH Kotala,Sochaczew,49-282,Targowa,33,98
Hynek Sp.k.,Sosnowiec,52-738,Krakowska,53,31
Spółdzielnia Nurkiewicz Sp. z o.o.,Nowa Ruda,49-353,Głogowa,61/08,118
PPUH Konrad,Malbork,60-555,Mostowa,45/61,3
Fundacja Eckert-Startek Sp.k.,Przemyśl,16-120,Błękitna,54,99
Stowarzyszenie Skonieczka s.c.,Łaziska Górne,35-052,Sadowa,796,107
Spółdzielnia Gawliczek-Gasz Sp.k.,Radom,01-249,Maja,72,66
Stowarzyszenie Woszczak,Leszno,61-027,Tuwima,24,119
Cieloch s.c.,Wyszków,53-676,Wiejska,838,52
Jama-Kawulok Sp. z o.o. Sp.k.,Pszczyna,11-065,Częstochowska,634,108
Gabinety Pietraś S.A.,Chełm,20-689,Lotnicza,40/26,39
Spółdzielnia Hermann,Ostrów Mazowiecka,09-512,Jeziorna,121,37
PPUH Knych s.c.,Stargard Szczeciński,98-654,Szczęśliwa,34,22
PPUH Kajstura S.A.,Otwock,93-254,Polna,74/09,106
Gabinety Wasążnik-Pawlukiewicz s.c.,Grudziądz,76-039,Kasprowicza,33,53
FPUH Krzyk-Pędrak i syn s.c.,Sochaczew,63-557,Letnia,614,28
Kucab-Szela i syn s.c.,Jelenia Góra,19-206,Batalionów Chłopskich,388,16
Kędziorek Sp.k.,Piastów,87-458,Cyprysowa,89/16,47
PPUH Naumiuk Sp.k.,Ruda Śląska,53-178,Łabędzia,184,100
Mich-Maciocha s.c.,Marki,21-862,Narutowicza,08/60,104
Imiołczyk-Roszko S.A.,Olsztyn,25-934,Cyprysowa,50,77
Ludwisiak i syn s.c.,Police,23-727,Żabia,483,42
